name,description,priority
Buy groceries,"Milk, Eggs, Bread, Butter",High
Call mom,Weekly check-in call,Medium
Finish homework,Math and science assignments,High
Clean room,Organize books and vacuum the floor,Low
Pay bills,Electricity and internet bills,High
Read book,Read 20 pages of a novel,Medium
Workout,30 minutes of cardio,High
Email teacher,Ask about the project deadline,Medium
Meditate,10 minutes mindfulness practice,Low
Plan trip,Research for summer vacation,Medium
play vollyball,play vollyball with friends in gym,High
